geometry,name,id,latitude,longitude,category,vi
POINT (-3.708723 40.3475234),"Centro Privado de Educación Infantil, Primaria y Secundaria Colegio Addis",school_124,40.3475234,-3.708723,school,0.0
POINT (-3.6954101 40.4170421),Escuela de Arte de Madrid N.2,school_125,40.4170421,-3.6954101,school,0.0
POINT (-3.6563957 40.4393997),Instituto de Educación Secundaria Salvador Dalí,school_126,40.4393997,-3.6563957,school,0.0
POINT (-3.7250262 40.3882038),Escuela Oficial de Idiomas de Madrid-Carabanchel,school_127,40.3882038,-3.7250262,school,0.0
POINT (-3.707176 40.4482889),Centro Privado de Formación Profesional Específica Escuela Técnica de Enseñanzas Especializadas,school_128,40.4482889,-3.707176,school,0.0
POINT (-3.7016118 40.3842671),Escuela Infantil La Jara,school_129,40.3842671,-3.7016118,school,0.0
POINT (-3.7482599 40.4030559),Escuela Infantil Chavalitos,school_130,40.4030559,-3.7482599,school,0.0
POINT (-3.6928051 40.3733742),Escuela Infantil San Fermín,school_131,40.3733742,-3.6928051,school,0.0
POINT (-3.7326034 40.3936967),Escuela Infantil Roger de Flor,school_132,40.3936967,-3.7326034,school,0.0
POINT (-3.7091922 40.4354905),Escuela Infantil Vallehermoso,school_133,40.4354905,-3.7091922,school,0.0
POINT (-3.6385389 40.4362587),Academia Toan,school_134,40.4362587,-3.6385389,school,0.0
POINT (-3.7345139 40.3771653),Centro Público de Educación de Personas Adultas Pan Bendito,school_135,40.3771653,-3.7345139,school,0.0
POINT (-3.6936021 40.4958979),Centro Público de Educación de Personas Adultas Fuencarral,school_136,40.4958979,-3.6936021,school,0.0
POINT (-3.701622 40.3681492),Escuela Infantil Albaicín,school_137,40.3681492,-3.701622,school,0.0
POINT (-3.6935148 40.3943159),Escuela de Adultos de Arganzuela,school_138,40.3943159,-3.6935148,school,0.0
POINT (-3.6082446 40.4373479),Centro Público de Educación de Personas Adultas Canillejas,school_139,40.4373479,-3.6082446,school,0.0
POINT (-3.650306 40.4431958),Escuela Oficial de Idiomas de Madrid-ciudad Lineal,school_140,40.4431958,-3.650306,school,0.0
POINT (-3.7518825 40.3971227),Centro Privado de Educación de Personas Adultas Nazaret,school_141,40.3971227,-3.7518825,school,0.0
POINT (-3.6837492 40.4493364),Centro de Educación Especial Cisen,school_142,40.4493364,-3.6837492,school,0.0
POINT (-3.7186348 40.4349752),Escuela Municipal de Educación de Personas Adultas Escuela de Adultos de Moncloa,school_143,40.4349752,-3.7186348,school,0.0
POINT (-3.779584 40.4665952),Centro Privado de Educación Secundaria T.e.m.s.,school_144,40.4665952,-3.779584,school,0.0
POINT (-3.6381186 40.443705),"Centro Privado de Educación Infantil, Primaria y Secundaria Bra-institucion",school_145,40.443705,-3.6381186,school,0.0
POINT (-3.7743983 40.5171311),Colegio de Educación Infantil y Primaria Monte de el Pardo,school_146,40.5171311,-3.7743983,school,0.0
POINT (-3.7706532 40.3820024),Centro Público de Educación de Personas Adultas Cid Campeador las Águilas - Cuatro Vientos,school_147,40.3820024,-3.7706532,school,0.0
POINT (-3.7249473 40.3862315),Centro Público de Educación de Personas Adultas Oporto,school_148,40.3862315,-3.7249473,school,0.0
POINT (-3.6323355 40.4292596),Centro Público de Educación de Personas Adultas Ciudad Lineal,school_149,40.4292596,-3.6323355,school,0.0
POINT (-3.6497415 40.477176),Centro Público de Educación de Personas Adultas Dulce Chacón,school_150,40.477176,-3.6497415,school,0.0
POINT (-3.6951889 40.4421204),Centro Docente Extranjero En España Scuola Materna Italiana de Madrid (italiano),school_151,40.4421204,-3.6951889,school,0.0
POINT (-3.688835 40.3496042),Centro Privado de Educación Infantil y Primaria Liceo Rosales,school_152,40.3496042,-3.688835,school,0.0
POINT (-3.6333084 40.3983828),Escuela Oficial de Idiomas de Madrid-Moratalaz,school_153,40.3983828,-3.6333084,school,0.0
POINT (-3.6934633 40.4720527),Oscus-Ventilla,school_154,40.4720527,-3.6934633,school,0.0
POINT (-3.692058 40.3716401),Escuela Municipal de Educación de Personas Adultas Escuela Municipal de Adultos Usera,school_155,40.3716401,-3.692058,school,0.0
POINT (-3.5853696 40.4716708),Escuela Municipal de Educación de Personas Adultas Escuela de Adultos de Barajas,school_156,40.4716708,-3.5853696,school,0.0
POINT (-3.7404659 40.3836216),Centro Público de Educación de Personas Adultas Vista Alegre,school_157,40.3836216,-3.7404659,school,0.0
POINT (-3.7739609 40.386527),Centro Privado de Educación Especial El Despertar,school_158,40.386527,-3.7739609,school,0.0
POINT (-3.6852236 40.4284363),Escuela Superior de Secretarias,school_159,40.4284363,-3.6852236,school,0.0
POINT (-3.6334342 40.4521719),Centro Docente Extranjero En España Escuela Iraquí En Madrid (iraquí),school_160,40.4521719,-3.6334342,school,0.0
POINT (-3.6974754 40.4354795),Centro Privado de Formación Profesional Específica Centro de Estudios Financieros,school_161,40.4354795,-3.6974754,school,0.0
POINT (-3.6668078 40.4545521),ICE Pablo VI,school_162,40.4545521,-3.6668078,school,0.0
POINT (-3.6757512 40.4739798),Centro Docente Extranjero En España Centro de Formación Empresarial (alemán),school_164,40.4739798,-3.6757512,school,0.0
POINT (-3.7288 40.4133561),Centro Privado de Formación Profesional Específica Centro Europeo de Estudios Profesionales,school_165,40.4133561,-3.7288,school,0.0
POINT (-3.6987654 40.4018515),Conf.Past.Helad.Repost.Pl.Coci.Comun.Ma.,school_166,40.4018515,-3.6987654,school,0.0
POINT (-3.7146664 40.424745),Centro Público de Educación de Personas Adultas Moncloa,school_167,40.424745,-3.7146664,school,0.0
POINT (-3.6960556 40.4006138),Centro Público de Educación de Personas Adultas Arganzuela,school_168,40.4006138,-3.6960556,school,0.0
POINT (-3.7192153 40.3972135),Escuela Infantil La Pradera,school_169,40.3972135,-3.7192153,school,0.0
POINT (-3.6828081 40.5258095),Instituto de Educación Secundaria Hotel Escuela de la Comunidad de Madrid,school_170,40.5258095,-3.6828081,school,0.0
POINT (-3.7235098 40.3946793),Escuela Infantil-casa de Niños Lope de Vega,school_171,40.3946793,-3.7235098,school,0.0
POINT (-3.7559035 40.3968693),Escuela Infantil Amadeo Vives,school_172,40.3968693,-3.7559035,school,0.0
POINT (-3.7656951 40.3942394),Centro de Estudios Superiores Giner,school_173,40.3942394,-3.7656951,school,0.0
POINT (-3.7286299 40.4776141),Centro Privado de Formación Profesional Específica C.recursos Com.sorda Juan Luis Marroquín,school_174,40.4776141,-3.7286299,school,0.0
POINT (-3.7384439 40.3786949),Unidad de Formación e Inserción Laboral Puerta Bonita,school_175,40.3786949,-3.7384439,school,0.0
POINT (-3.7701073 40.382116),Unidad de Formación e Inserción Laboral Cid Campeador,school_176,40.382116,-3.7701073,school,0.0
POINT (-3.7088484 40.3442835),Academia Triunfo IV,school_177,40.3442835,-3.7088484,school,0.0
POINT (-3.6974005 40.3803439),"Zona Casas de Niños Capital-1, Nuestra Señora de la Fuencisla",school_178,40.3803439,-3.6974005,school,0.0
POINT (-3.7268943 40.3898138),Centro Privado de Educación Especial Peripatos,school_179,40.3898138,-3.7268943,school,0.0
POINT (-3.6978304 40.3799781),Escuela Infantil-casa de Niños Nuestra Señora de la Fuencisla,school_180,40.3799781,-3.6978304,school,0.0
POINT (-3.720462 40.4832131),Escuela Infantil-casa de Niños Bravo Murillo,school_181,40.4832131,-3.720462,school,0.0
POINT (-3.6129154 40.4236253),Escuela Infantil Piruetas,school_182,40.4236253,-3.6129154,school,0.0
POINT (-3.7187131 40.4533223),Centro Privado de Formación Profesional Específica Ceu-instituto Superior de Estudios Profesionales,school_183,40.4533223,-3.7187131,school,0.0
POINT (-3.6735361 40.403064),Centro Privado de Formación Profesional Específica Escuela Superior de Formación,school_184,40.403064,-3.6735361,school,0.0
POINT (-3.6741631 40.4604702),Centro Docente Extranjero En España Saint Anne's School (britanico),school_185,40.4604702,-3.6741631,school,0.0
POINT (-3.7154613 40.4373652),Centro Privado de Formación Profesional Específica Cev Centro de Estudios del Vídeo,school_186,40.4373652,-3.7154613,school,0.0
POINT (-3.6980419 40.3659466),Centro Privado de Formación Profesional Específica Fundación Tomillo,school_187,40.3659466,-3.6980419,school,0.0
POINT (-3.7455367 40.3879747),Ceu II-Instituto Superior de Estudios Profesionales,school_188,40.3879747,-3.7455367,school,0.0
POINT (-3.7141346 40.4222168),Centro de Estudios Turísticos Ábaco,school_189,40.4222168,-3.7141346,school,0.0
POINT (-3.698531 40.4277342),Centro de estudios Acua,school_190,40.4277342,-3.698531,school,0.0
POINT (-3.6579215 40.4274365),Centro de Estudios Avanzados Alta Dirección,school_191,40.4274365,-3.6579215,school,0.0
POINT (-3.6817504 40.452279),Centro Privado de Educación Especial Hospital Infantil San Rafael,school_192,40.452279,-3.6817504,school,0.0
POINT (-3.6237972 40.421243),Centro Público de Educación de Personas Adultas Las Rosas,school_193,40.421243,-3.6237972,school,0.0
POINT (-3.6946719 40.4872706),Aula Hospitalaria Ramón y Cajal,school_194,40.4872706,-3.6946719,school,0.0
POINT (-3.6183793 40.4269241),Centro Privado de Educación Especial Pauta,school_195,40.4269241,-3.6183793,school,0.0
POINT (-3.7276224 40.3961695),Aula Hospitalaria Pradera de San Isidro,school_196,40.3961695,-3.7276224,school,0.0
POINT (-3.6969245 40.3764036),Aula Hospitalaria Doce de Octubre,school_197,40.3764036,-3.6969245,school,0.0
POINT (-3.7009655 40.4277773),VíaFormación,school_198,40.4277773,-3.7009655,school,0.0
POINT (-3.7186888 40.4303866),Vicente Aleixandre,school_199,40.4303866,-3.7186888,school,0.0
POINT (-3.7201053 40.4907501),Centro Privado de Educación de Personas Adultas Centro Bobath de Educación de Adultos,school_200,40.4907501,-3.7201053,school,0.0
POINT (-3.6741176 40.4606143),Centro Privado de Educación Secundaria Santa Ana,school_201,40.4606143,-3.6741176,school,0.0
POINT (-3.6578179 40.4273387),"Centro Privado de Educación Infantil, Primaria y Secundaria La Purísima",school_202,40.4273387,-3.6578179,school,0.0
POINT (-3.642912 40.4505522),Antiguo Centro de E.E. Aleph,school_203,40.4505522,-3.642912,school,0.0
POINT (-3.7091222 40.4219683),Centro Privado de Formación Profesional Específica Instituto Vox,school_204,40.4219683,-3.7091222,school,0.0
POINT (-3.6937054 40.4055933),Centro de Estudios Delicias,school_205,40.4055933,-3.6937054,school,0.0
POINT (-3.7199685 40.4907898),Centro Privado de Educación Especial Centro Bobath España,school_206,40.4907898,-3.7199685,school,0.0
POINT (-3.6887802 40.4004619),,school_207,40.4004619,-3.6887802,school,0.0
POINT (-3.6724917 40.4443713),Centro Privado de Formación Profesional Específica Cesur-madrid,school_208,40.4443713,-3.6724917,school,0.0
POINT (-3.6974625 40.427113),Radio Ecca,school_209,40.427113,-3.6974625,school,0.0
POINT (-3.6760244 40.4420363),Centro Privado de Educación de Personas Adultas Escuela Popular de Prosperidad,school_210,40.4420363,-3.6760244,school,0.0
POINT (-3.7125901 40.3437863),Asociación Semilla,school_211,40.3437863,-3.7125901,school,0.0
POINT (-3.6736978 40.4324967),Centro Privado de Formación Profesional Específica Escuela Europea Ayudantes de Dirección,school_212,40.4324967,-3.6736978,school,0.0
POINT (-3.6825417 40.4407041),"Escuela Superior de Informática, Márketing y Negocios I&M",school_213,40.4407041,-3.6825417,school,0.0
POINT (-3.6575662 40.4319569),Antigua E.S.I.,school_214,40.4319569,-3.6575662,school,0.0
